,assessment_date,county,sub-county,location_type,households_in_location,households_departed,departure_date,1st_reason_for_departure,2nd_reason_for_departure,3rd_reason_for_departure,households_pastoralism_drop,pastoralism_drop_date,1st_reason_to_drop,2nd_reason_to_drop,3rd_reason_to_drop,households_arrived,arrival_date,country_arrived_from,sub-county_arrived_from,1st_reason_for_departure_from_origin,2nd_reason_for_departure_from_origin,3rd_reason_for_departure_from_origin,households_returned,country_returned_from,sub-county_returned_from,1st_reason_for_returning,2nd_reason_for_returning,livelihood_1,households_livelihood_1,livelihood_2,households_livelihood_2,livelihood_3,households_livelihood_3,1st_challenge,2nd_challenge,3rd_challenge,1st_health_concern,2nd_health_concern,3rd_health_concern,functional_watersources,watersource_distance,water_queue_time,percent_drinkingwater_access,percent_cookingwater_access,educational_facility,students,school_dropouts,safety_concerns
518,2022-09-07,Garissa,Balambala,Village,360,30,2020 To 2022,Drought,Other,Resource-Based Conflict,205,2020 To 2022,Drought,Other,Resource-Based Conflict,100,2020 To 2022,Kenya,Wajir/South,Drought,Other,Resource-Based Conflict,80,Kenya,Wajir/South,Drought,Other,Pastoralism,400,Trade,50,Employment (Includes Public And Private Sectors),15,Loss Of Livelihood,Environmental Challenges,Lack Of Food And Water,Malaria,Measles,Diarrhea,1,38,26,75,50,Yes,245,20,Weather
519,2022-09-16,Garissa,Dadaab,Village,1150,250,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,800,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Fires,0,Other,Other,Other,Other,Other,Other,100,Kenya,Wajir/South,Drought,Flash Floods Or Seasonal Floods,Pastoralism,400,Agro Pastoralism,100,Trade,120,Environmental Challenges,Loss Of Livelihood,Lack Of Access To Essential Services,Malaria,Pneumonia,No Additional Challenge,4,10,10,25,75,Yes,700,50,Lack Of Privacy
520,2022-09-14,Garissa,Garissa Township,Village,500,20,2020 To 2022,Drought,Other,Resource-Based Conflict,30,Before 2020,Drought,Other,Resource-Based Conflict,50,2020 To 2022,Kenya,Fafi,Drought,Other,Resource-Based Conflict,0,Other,Other,Other,Other,Pastoralism,50,Trade,10,Agro Pastoralism,10,Safety And Security,Environmental Challenges,Lack Of Food And Water,Pneumonia,Malaria,Diarrhea,1,50,50,25,25,Yes,398,10,Weather
521,2022-09-17,Garissa,Garissa Township,Village,300,120,2020 To 2022,Drought,Resource-Based Conflict,Other,120,2020 To 2022,Drought,Resource-Based Conflict,Other,20,2020 To 2022,Kenya,Fafi,Drought,Other,Resource-Based Conflict,10,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,500,Trade,60,Employment (Includes Public And Private Sectors),30,Lack Of Food And Water,Environmental Challenges,Loss Of Livelihood,Malaria,Diarrhea,No Additional Challenge,1,50,50,25,25,Yes,645,54,Lack Of Basic Services Water Electricity Etc
522,2022-09-13,Garissa,Garissa Township,Town In Urban,200,10,Before 2020,Drought,Resource-Based Conflict,Other,20,2020 To 2022,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,380,Trade,50,Other,100,Environmental Challenges,Lack Of Food And Water,Safety And Security,Acute Malnutrition,Malaria,No Additional Challenge,1,50,50,25,0,Yes,4800,300,Weather
523,2022-09-09,Garissa,Balambala,Village,3000,0,Other,Other,Other,Other,2905,2020 To 2022,Drought,Resource-Based Conflict,Other,1200,2020 To 2022,Other,Other,Other,Other,Other,230,Other,Other,Other,Other,Pastoralism,200,Trade,52,Employment (Includes Public And Private Sectors),10,Lack Of Access To Essential Services,Environmental Challenges,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,10,10,50,25,No,99,10,Lack Of Basic Services Water Electricity Etc
524,2022-09-09,Garissa,Balambala,Village,480,0,Other,Other,Other,Other,160,2020 To 2022,Drought,Resource-Based Conflict,Other,110,2020 To 2022,Other,Other,Other,Other,Other,60,Other,Other,Other,Other,Pastoralism,200,Trade,52,Employment (Includes Public And Private Sectors),10,Lack Of Access To Essential Services,Environmental Challenges,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,10,10,50,25,No,99,10,Lack Of Basic Services Water Electricity Etc
525,2022-09-09,Garissa,Balambala,Village,700,6,2020 To 2022,Drought,Resource-Based Conflict,Other,320,2020 To 2022,Drought,Resource-Based Conflict,Other,200,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Other,70,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
526,2022-09-17,Garissa,Ijara,Village,300,15,2020 To 2022,Drought,Resource-Based Conflict,Other,150,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Other,285,Kenya,Lamu/West,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
527,2022-09-17,Garissa,Garissa Township,Village,250,33,2020 To 2022,Drought,Resource-Based Conflict,Other,25,2020 To 2022,Drought,Resource-Based Conflict,Other,27,2020 To 2022,Kenya,Ijara,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
528,2022-09-17,Garissa,Dadaab,Village,420,80,2020 To 2022,Drought,Resource-Based Conflict,Other,220,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
529,2022-09-17,Garissa,Ijara,Village,150,200,2020 To 2022,Drought,Other,Resource-Based Conflict,100,2020 To 2022,Drought,Other,Resource-Based Conflict,50,2020 To 2022,Kenya,Galole,Drought,Resource-Based Conflict,Other,200,Kenya,Lamu/West,Drought,Resource-Based Conflict,Pastoralism,900,Trade,300,Employment (Includes Public And Private Sectors),120,Environmental Challenges,Resource Based Conflict,Loss Of Livelihood,Malaria,Pneumonia,Typhoid,2,10,50,25,50,Yes,280,50,Lack Of Security
530,2022-09-07,Garissa,Balambala,Village,50,10,2020 To 2022,Drought,Other,Resource-Based Conflict,40,2020 To 2022,Drought,Other,Resource-Based Conflict,50,2020 To 2022,Kenya,Balambala,Drought,Other,Resource-Based Conflict,10,Other,Other,Other,Other,Pastoralism,50,Trade,10,Agro Pastoralism,10,Safety And Security,Environmental Challenges,Lack Of Food And Water,Pneumonia,Malaria,Diarrhea,1,50,50,25,25,Yes,398,10,Weather
531,2022-09-13,Garissa,Balambala,Village,130,50,2020 To 2022,Drought,Resource-Based Conflict,Other,60,2020 To 2022,Drought,Resource-Based Conflict,Other,140,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,70,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
532,2022-09-17,Garissa,Dadaab,Village,300,80,2020 To 2022,Drought,Resource-Based Conflict,Other,180,2020 To 2022,Drought,Resource-Based Conflict,Other,40,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,1500,Trade,250,Employment (Includes Public And Private Sectors),100,Environmental Challenges,Safety And Security,Resource Based Conflict,Diarrhea,Reproductive Complication,No Additional Challenge,3,10,10,75,75,Yes,1500,150,Lack Of Basic Services Water Electricity Etc
533,2022-09-17,Garissa,Dadaab,Village,80,0,Other,Other,Other,Other,5,2020 To 2022,Drought,Resource-Based Conflict,Other,5,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
534,2022-09-11,Garissa,Dadaab,Village,1000,200,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Drought,Resource-Based Conflict,Other,400,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,350,Kenya,Wajir/South,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
535,2022-09-11,Garissa,Dadaab,Village,150,45,2020 To 2022,Drought,Resource-Based Conflict,Other,15,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,40,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
536,2022-09-17,Garissa,Dadaab,Village,500,200,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,250,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,0,Other,Other,Other,Other,Other,Other,50,Other,Wajir/South,Drought,Flash Floods Or Seasonal Floods,Pastoralism,300,Trade,50,Employment (Includes Public And Private Sectors),50,Safety And Security,Resource Based Conflict,Ethnic Conflicts,Diarrhea,Amoeba,No Additional Challenge,2,50,50,100,100,Yes,88,17,Lack Of Security
537,2022-09-18,Garissa,Ijara,Village,400,20,2020 To 2022,Drought,Resource-Based Conflict,Other,200,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Kenya,Ijara,Drought,Resource-Based Conflict,Other,50,Kenya,Fafi,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
538,2022-09-18,Garissa,Ijara,Village,150,100,2020 To 2022,Drought,Other,Resource-Based Conflict,200,2020 To 2022,Drought,Resource-Based Conflict,Other,300,2020 To 2022,Kenya,Ijara,Drought,Resource-Based Conflict,Other,200,Kenya,Lamu/West,Drought,Resource-Based Conflict,Pastoralism,300,Trade,50,Farming,30,Lack Of Food And Water,Environmental Challenges,Loss Of Livelihood,Malaria,Typhoid,Diarrhea,1,38,38,50,75,Yes,400,50,Lack Of Basic Services Water Electricity Etc
539,2022-09-14,Garissa,Ijara,Village,200,95,2020 To 2022,Drought,Resource-Based Conflict,Other,70,2020 To 2022,Drought,Other,Other,0,Other,Other,Other,Other,Other,Other,38,Other,Ijara,Drought,Resource-Based Conflict,Trade,900,Other,600,Farming,260,Other,No Additional Challenge,No Additional Challenge,Malaria,Other,No Additional Challenge,1,10,10,75,75,Yes,1540,120,Lack Of Security
540,2022-09-18,Garissa,Dadaab,Village,80,0,Other,Other,Other,Other,5,2020 To 2022,Drought,Resource-Based Conflict,Other,30,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
541,2022-09-18,Garissa,Dadaab,Village,706,400,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Drought,Resource-Based Conflict,Drought,100,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,70,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,363,Pastoralism,83,Trade,26,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Diarrhea,Pneumonia,2,10,10,75,75,Yes,200,10,Lack Of Basic Services Water Electricity Etc
542,2022-09-18,Garissa,Dadaab,Village,250,200,2020 To 2022,Drought,Other,Flash Floods Or Seasonal Floods,30,2020 To 2022,Drought,Drought,Other,10,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,10,Kenya,Dadaab,Drought,Resource-Based Conflict,Pastoralism,500,Agro Pastoralism,100,Trade,70,Loss Of Livelihood,Environmental Challenges,No Additional Challenge,Malaria,Typhoid,Pneumonia,2,38,26,25,50,Yes,1600,30,Lack Of Privacy
543,2022-09-05,Garissa,Dadaab,Village,900,150,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Drought,Resource-Based Conflict,Other,150,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Other,30,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
544,2022-09-06,Garissa,Dadaab,Village,203,33,2020 To 2022,Drought,Resource-Based Conflict,Other,140,2020 To 2022,Drought,Resource-Based Conflict,Other,30,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
545,2022-09-05,Garissa,Lagdera,Village,250,10,2020 To 2022,Drought,Resource-Based Conflict,Other,5,2020 To 2022,Drought,Drought,Resource-Based Conflict,10,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,50,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,750,Other,40,Employment (Includes Public And Private Sectors),10,Resource Based Conflict,Lack Of Food And Water,Environmental Challenges,Typhoid,Malaria,Diarrhea,12,50,50,25,25,No,115,100,Weather
546,2022-09-05,Garissa,Dadaab,Town In Urban,2100,800,2020 To 2022,Drought,Resource-Based Conflict,Other,400,2020 To 2022,Drought,Other,Other,300,2020 To 2022,Kenya,Wajir/South,Drought,Resource-Based Conflict,Other,250,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,700,Agro Pastoralism,300,Trade,250,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,2,38,38,75,50,Yes,630,115,Lack Of Privacy
547,2022-09-05,Garissa,Dadaab,Village,450,50,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Fires,300,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,0,Other,Other,Other,Other,Other,Other,15,Other,Dadaab,Drought,Flash Floods Or Seasonal Floods,Pastoralism,1000,Trade,100,Other,300,Environmental Challenges,No Additional Challenge,No Additional Challenge,Diarrhea,Malaria,No Additional Challenge,2,50,50,50,50,Yes,400,150,Weather
548,2022-09-06,Garissa,Ijara,Village,580,700,2020 To 2022,Drought,Other,Resource-Based Conflict,20,2020 To 2022,Drought,Other,Resource-Based Conflict,480,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Other,500,Kenya,Dadaab,Drought,Resource-Based Conflict,Pastoralism,700,Agro Pastoralism,300,Trade,250,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,2,38,38,75,50,Yes,630,115,Lack Of Privacy
549,2022-09-06,Garissa,Lagdera,Village,4500,5000,2020 To 2022,Drought,Resource-Based Conflict,Fires,2500,2020 To 2022,Drought,Resource-Based Conflict,Fires,50,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Fires,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
550,2022-09-06,Garissa,Lagdera,Village,600,150,2020 To 2022,Drought,Resource-Based Conflict,Fires,180,2020 To 2022,Drought,Resource-Based Conflict,Drought,0,Other,Other,Other,Other,Other,Other,150,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,400,Agro Pastoralism,100,Trade,120,Environmental Challenges,Loss Of Livelihood,Lack Of Access To Essential Services,Malaria,Pneumonia,No Additional Challenge,4,10,10,25,75,Yes,700,50,Lack Of Privacy
551,2022-09-06,Garissa,Lagdera,Village,1000,200,2020 To 2022,Drought,Resource-Based Conflict,Fires,400,2020 To 2022,Drought,Resource-Based Conflict,Drought,0,Other,Other,Other,Other,Other,Other,500,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,400,Agro Pastoralism,100,Trade,120,Environmental Challenges,Loss Of Livelihood,Lack Of Access To Essential Services,Malaria,Pneumonia,No Additional Challenge,4,10,10,25,75,Yes,700,50,Lack Of Privacy
552,2022-09-06,Garissa,Ijara,Village,3000,2000,2020 To 2022,Drought,Resource-Based Conflict,Other,2500,2020 To 2022,Drought,Other,Resource-Based Conflict,1500,2020 To 2022,Kenya,Lamu/West,Drought,Other,Resource-Based Conflict,1000,Kenya,Galole,Drought,Resource-Based Conflict,Other,2000,Trade,500,Employment (Includes Public And Private Sectors),20,Safety And Security,Ethnic Conflicts,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,5,26,10,25,25,Yes,150,50,Weather
553,2022-09-06,Garissa,Garissa Township,Town In Urban,1100,0,Other,Other,Other,Other,370,2020 To 2022,Drought,Resource-Based Conflict,Other,73,2020 To 2022,Kenya,Wajir/South,Drought,Other,Resource-Based Conflict,20,Kenya,Ijara,Drought,Other,Pastoralism,200,Farming,10,Trade,5,Other,Safety And Security,Lack Of Food And Water,Diarrhea,No Additional Challenge,No Additional Challenge,0,50,50,100,25,Yes,455,0,Weather
554,2022-09-06,Garissa,Lagdera,Village,180,50,2020 To 2022,Drought,Other,Resource-Based Conflict,100,2020 To 2022,Drought,Resource-Based Conflict,Other,30,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,60,Kenya,Dadaab,Drought,Resource-Based Conflict,Pastoralism,700,Agro Pastoralism,300,Trade,250,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,2,38,38,75,50,Yes,630,115,Lack Of Privacy
555,2022-09-06,Garissa,Lagdera,Village,150,5,2020 To 2022,Drought,Resource-Based Conflict,Other,40,2020 To 2022,Drought,Resource-Based Conflict,Other,6,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,50,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
556,2022-09-06,Garissa,Lagdera,Village,200,30,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,80,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,100,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
557,2022-09-06,Garissa,Ijara,Town In Urban,350,0,Other,Other,Other,Other,600,2020 To 2022,Drought,Other,Other,300,2020 To 2022,Kenya,Ijara,Drought,Other,Resource-Based Conflict,0,Other,Other,Other,Other,Trade,890,Pastoralism,551,Farming,312,Environmental Challenges,Safety And Security,No Additional Challenge,Pneumonia,No Additional Challenge,No Additional Challenge,2,10,10,75,100,Yes,2396,510,Lack Of Privacy
558,2022-09-06,Garissa,Garissa Township,Town In Urban,1070,0,Other,Other,Other,Other,300,2020 To 2022,Drought,Resource-Based Conflict,Other,150,2020 To 2022,Kenya,Ijara,Drought,Resource-Based Conflict,Other,50,Kenya,Ijara,Drought,Resource-Based Conflict,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
559,2022-09-06,Garissa,Ijara,Village,1500,200,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,50,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,2020 To 2022,Kenya,Mwingi/North,Drought,Other,Resource-Based Conflict,100,Kenya,Garissa/Township,Drought,Resource-Based Conflict,Pastoralism,1200,Trade,200,Employment (Includes Public And Private Sectors),100,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Pneumonia,No Additional Challenge,No Additional Challenge,5,38,26,25,25,Yes,200,50,Land And Property Issues
560,2022-09-06,Garissa,Fafi,Village,3500,1400,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,64,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,200,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
